Puesto,País,Puntuación,Proceso electoraly pluralismo,Funcionamientodel gobierno,Participaciónpolítica,Culturapolítica,Derechosciviles,Categoría
138,Vietnam,3.08,0.00,3.21,3.89,5.63,2.65,Regimen autoritario
139,Oman,3.04,0.00,3.93,2.78,4.38,4.12,Regimen autoritario
140,Suazilandia,3.03,0.92,2.86,2.22,5.63,3.53,Regimen autoritario
141,Cuba,3.00,1.08,3.57,3.33,4.38,2.65,Regimen autoritario
142,Afganistan,2.97,2.92,1.14,4.44,2.50,3.82,Regimen autoritario
143,Kazajistan,2.94,0.50,2.14,4.44,4.38,3.24,Regimen autoritario
144,Rusia,2.93,2.17,1.79,5.00,2.50,3.24,Regimen autoritario
145,Yibuti,2.87,0.42,1.79,3.89,5.63,2.65,Regimen autoritario
146,Emiratos Arabes Unidos,2.76,0.00,3.93,2.22,5.00,2.65,Regimen autoritario
147,Barein,2.71,0.83,3.21,2.78,4.38,2.35,Regimen autoritario
148,Azerbaiyan,2.65,0.50,2.14,3.33,3.75,3.53,Regimen autoritario
149,Iran,2.45,0.00,3.21,4.44,3.13,1.47,Regimen autoritario
150,Eritrea,2.37,0.00,2.14,1.67,6.88,1.18,Regimen autoritario
151,Burundi,2.33,0.00,0.43,3.89,5.00,2.35,Regimen autoritario
152,China,2.26,0.00,5.00,3.89,6.25,1.47,Regimen autoritario
153,Libia,2.19,1.00,0.36,1.67,5.00,2.94,Regimen autoritario
154,Sudan,2.15,0.00,1.79,2.78,5.00,1.18,Regimen autoritario
155,Laos,2.14,0.83,2.86,1.67,5.00,1.47,Regimen autoritario
156,Uzbekistan,2.01,0.08,1.86,2.22,5.00,0.88,Regimen autoritario
157,Guinea-Bisau,1.98,1.67,0.00,2.78,3.13,2.35,Regimen autoritario
158,Yemen,1.97,0.00,0.00,3.89,5.00,0.88,Regimen autoritario
159,Arabia Saudita,1.96,0.00,2.86,2.22,3.13,1.47,Regimen autoritario
160,Tayikistan,1.95,0.08,0.79,1.67,6.25,0.88,Regimen autoritario
161,Guinea Ecuatorial,1.92,0.00,0.43,3.33,4.38,1.47,Regimen autoritario
162,Turkmenistan,1.72,0.00,0.79,2.22,5.00,0.59,Regimen autoritario
163,Chad,1.61,0.00,0.00,1.67,3.75,2.65,Regimen autoritario
164,Siria,1.43,0.00,0.00,2.78,4.38,0.00,Regimen autoritario
165,Republica Centroafricana,1.32,1.25,0.00,1.11,1.88,2.35,Regimen autoritario
166,R Democratica del Congo,1.13,0.00,0.00,1.67,3.13,0.88,Regimen autoritario
167,Corea del Norte,1.08,0.00,2.50,1.67,1.25,0.00,Regimen autoritario
